Easting,Northing
4717079305141280.000,1584294794962886000.000
4717226819675937.000,1584360855041976500.000
4717374337285991.000,1584426917186917700.000
4717521857971472.000,1584492981397753200.000
4717669381732413.000,1584559047674525700.000
4717816908568846.000,1584625116017278500.000
4717964438480803.000,1584691186426054000.000
4718111971468314.000,1584757258900896500.000
4718259507531415.000,1584823333441847500.000
4718407046670135.000,1584889410048951500.000
4718554588884508.000,1584955488722250700.000
4718702134174564.000,1585021569461789200.000
4718849682540334.000,1585087652267607500.000
4718997233981855.000,1585153737139752000.000
4719144788499156.000,1585219824078264000.000
4719292346092269.000,1585285913083187200.000
4719439906761227.000,1585352004154564200.000
4719587470506061.000,1585418097292438000.000
4719735037326804.000,1585484192496852200.000
4719882607223489.000,1585550289767849500.000
4720030180196144.000,1585616389105473000.000
4720177756244804.000,1585682490509766000.000
4720325335369502.000,1585748593980771200.000
4720472917570268.000,1585814699518531700.000
4720620502847135.000,1585880807123091200.000
4720768091200132.000,1585946916794490500.000
4720915682629298.000,1586013028532776500.000
4721063277134659.000,1586079142337989700.000
4721210874716251.000,1586145258210174000.000
4721358475374103.000,1586211376149372700.000
4721506079108248.000,1586277496155627700.000
4721653685918719.000,1586343618228983500.000
4721801295805546.000,1586409742369482000.000
4721948908768764.000,1586475868577166700.000
4722096524808403.000,1586541996852081200.000
4722244143924495.000,1586608127194267700.000
4722391766117074.000,1586674259603770200.000
4722539391386166.000,1586740394080630000.000
4722687019731811.000,1586806530624892700.000
4728742431208140.000,1589519909504290000.000
4728890188797820.000,1589586132918335500.000
4729037949465427.000,1589652358401635700.000
4729185713210995.000,1589718585954234000.000
4729333480034554.000,1589784815576173200.000
4729481249936139.000,1589851047267496500.000
4729629022915780.000,1589917281028246500.000
4729776798973509.000,1589983516858467200.000
4729924578109355.000,1590049754758199500.000
4730072360323357.000,1590115994727490200.000
4730220145615544.000,1590182236766380500.000
4730367933985947.000,1590248480874913200.000
4730515725434599.000,1590314727053131700.000
4730663519961533.000,1590380975301079500.000
4730811317566778.000,1590447225618799500.000
4730959118250369.000,1590513478006334000.000
4731106922012336.000,1590579732463726700.000
4731254728852713.000,1590645988991021500.000
4731402538771531.000,1590712247588260500.000
4731550351768822.000,1590778508255487500.000
4731698167844618.000,1590844770992744500.000
4731845986998948.000,1590911035800074000.000
4731993809231850.000,1590977302677521500.000
4732141634543355.000,1591043571625129500.000
4732289462933492.000,1591109842642941200.000
4732437294402295.000,1591176115730998700.000
4732585128949795.000,1591242390889345500.000
4732732966576025.000,1591308668118025000.000
4732880807281016.000,1591374947417080000.000
4733028651064802.000,1591441228786553200.000
4733176497927413.000,1591507512226489200.000
4733324347868881.000,1591573797736930000.000
4733472200889240.000,1591640085317918000.000
4733620056988518.000,1591706374969497000.000
4733767916166753.000,1591772666691711500.000
4733915778423973.000,1591838960484602700.000
4734063643760213.000,1591905256348215000.000
4734211512175502.000,1591971554282590700.000
4734359383669873.000,1592037854287773500.000
4734507258243358.000,1592104156363806000.000
4734655135895990.000,1592170460510732200.000
4734803016627800.000,1592236766728593500.000
4734950900438821.000,1592303075017434700.000
4735098787329084.000,1592369385377298200.000
4735246677298622.000,1592435697808227200.000
4735394570347466.000,1592502012310264500.000
4735542466475646.000,1592568328883452700.000
4735690365683200.000,1592634647527837200.000
4735838267970157.000,1592700968243459700.000
4735986173336548.000,1592767291030363200.000
4736134081782407.000,1592833615888591000.000
4736281993307764.000,1592899942818186200.000
4736429907912653.000,1592966271819192000.000
4736577825597104.000,1593032602891651200.000
4736725746361151.000,1593098936035607500.000
4736873670204825.000,1593165271251103500.000
4737021597128159.000,1593231608538183000.000
4737169527131183.000,1593297947896888500.000
4737317460213928.000,1593364289327261700.000
4737465396376431.000,1593430632829348500.000
5281390474970599.000,2064911661953200000.000
5281548742371246.000,2064994168042210500.000
5281707012933729.000,2065076676603671500.000
5281865286658081.000,2065159187637631500.000
5282023563544333.000,2065241701144140700.000
5282181843592514.000,2065324217123247500.000
5282340126802658.000,2065406735575002500.000
5282498413174797.000,2065489256499453500.000
5282656702708958.000,2065571779896649500.000
5282814995405179.000,2065654305766643500.000
5282973291263490.000,2065736834109482000.000
5283131590283921.000,2065819364925215200.000
5283289892466504.000,2065901898213892000.000
5283448197811270.000,2065984433975562500.000
5283606506318252.000,2066066972210276000.000
5283764817987479.000,2066149512918080700.000
5283923132818987.000,2066232056099027500.000
5284081450812803.000,2066314601753164700.000
5284239771968962.000,2066397149880543200.000
5284398096287492.000,2066479700481210500.000
5284556423768429.000,2066562253555217200.000
5284714754411798.000,2066644809102610500.000
5284873088217637.000,2066727367123444000.000
5285031425185976.000,2066809927617764500.000
5285189765316847.000,2066892490585621500.000
5285348108610280.000,2066975056027064700.000
5285506455066307.000,2067057623942143500.000
5285664804684960.000,2067140194330907500.000
5285823157466271.000,2067222767193405500.000
5285981513410269.000,2067305342529687500.000
5286139872516990.000,2067387920339802500.000
5286298234786460.000,2067470500623800500.000
5286456600218717.000,2067553083381730000.000
5286614968813784.000,2067635668613639500.000
5286773340571701.000,2067718256319581200.000
5286931715492497.000,2067800846499603500.000
5287090093576203.000,2067883439153755200.000
5287248474822851.000,2067966034282085500.000
5287406859232472.000,2068048631884644700.000
5287565246805098.000,2068131231961481500.000
5287723637540759.000,2068213834512645500.000
5287882031439489.000,2068296439538186700.000
5288040428501318.000,2068379047038154000.000
5288198828726279.000,2068461657012596000.000
5288357232114402.000,2068544269461564000.000
5288515638665719.000,2068626884385105500.000
5288674048380258.000,2068709501783269500.000
5288832461258059.000,2068792121656108000.000
5288990877299149.000,2068874744003669200.000
5289149296503559.000,2068957368826002500.000
5289307718871321.000,2069039996123157200.000
5289466144402468.000,2069122625895182700.000
5289624573097028.000,2069205258142128500.000
5289783004955037.000,2069287892864044000.000
5289941439976523.000,2069370530060978500.000
5290099878161521.000,2069453169732981500.000
5290258319510059.000,2069535811880102000.000
5290416764022171.000,2069618456502390500.000
5290575211697884.000,2069701103599894000.000
5290733662537238.000,2069783753172664700.000
5297232871231417.000,2073174517470446700.000
5297391454972019.000,2073257271049032500.000
5297550041877616.000,2073340027105009200.000
5297708631948238.000,2073422785638427500.000
5297867225183918.000,2073505546649336700.000
5298025821584686.000,2073588310137785500.000
5298184421150577.000,2073671076103824500.000
5298343023881619.000,2073753844547502500.000
5298501629777843.000,2073836615468866500.000
5298660238839284.000,2073919388867970500.000
5298818851065974.000,2074002164744861500.000
5298977466457941.000,2074084943099589500.000
5299136085015220.000,2074167723932204000.000
5299294706737840.000,2074250507242754500.000
5299453331625833.000,2074333293031290000.000
5299611959679231.000,2074416081297859500.000
5299770590898067.000,2074498872042513200.000
5299929225282370.000,2074581665265300700.000
5300087862832174.000,2074664460966270700.000
5300246503547508.000,2074747259145474000.000
5300405147428406.000,2074830059802958500.000
5300563794474895.000,2074912862938772000.000
5300722444687013.000,2074995668552968500.000
5300881098064790.000,2075078476645595200.000
5301039754608254.000,2075161287216701500.000
5301198414317440.000,2075244100266336700.000
5301357077192380.000,2075326915794551200.000
5301515743233102.000,2075409733801393200.000
5301674412439641.000,2075492554286912700.000
5301833084812026.000,2075575377251158700.000
5301991760350291.000,2075658202694181500.000
5302150439054465.000,2075741030616030000.000
5302309120924583.000,2075823861016754500.000
5302467805960669.000,2075906693896401200.000
5302626494162765.000,2075989529255024000.000
5302785185530897.000,2076072367092670700.000
5302943880065098.000,2076155207409390500.000
5303102577765398.000,2076238050205232700.000
5303261278631830.000,2076320895480246700.000
5303419982664424.000,2076403743234482500.000
5303578689863215.000,2076486593467989500.000
5303737400228230.000,2076569446180816700.000
5303896113759504.000,2076652301373014000.000
5304054830457066.000,2076735159044630500.000
5304213550320950.000,2076818019195715200.000
5304372273351187.000,2076900881826319200.000
5304530999547804.000,2076983746936488700.000
5304689728910840.000,2077066614526277500.000
5304848461440325.000,2077149484595732500.000
5305007197136287.000,2077232357144904500.000
5305165935998760.000,2077315232173840700.000
5305324678027775.000,2077398109682593200.000
5305483423223364.000,2077480989671210000.000
5305642171585558.000,2077563872139740500.000
5305800923114388.000,2077646757088234700.000
5305959677809886.000,2077729644516741500.000
5306118435672086.000,2077812534425311200.000
5306277196701016.000,2077895426813992700.000
5306435960896708.000,2077978321682833200.000
5306594728259195.000,2078061219031887200.000
5313106917121223.000,2081462146415196500.000
5313265817517609.000,2081545147977784000.000
5313424721082147.000,2081628152022710000.000
5313583627814870.000,2081711158550024000.000
5313742537715809.000,2081794167559775200.000
5313901450784996.000,2081877179052014000.000
5314060367022460.000,2081960193026789200.000
5314219286428237.000,2082043209484150500.000
5314378209002352.000,2082126228424145200.000
5314537134744845.000,2082209249846826700.000
5314696063655742.000,2082292273752242700.000
5314854995735077.000,2082375300140443200.000
5315013930982880.000,2082458329011477200.000
5315172869399184.000,2082541360365393200.000
5315331810984019.000,2082624394202242500.000
5315490755737418.000,2082707430522074500.000
5315649703659411.000,2082790469324936500.000
5315808654750032.000,2082873510610880000.000
5315967609009310.000,2082956554379954000.000
5316126566437278.000,2083039600632208500.000
5316285527033968.000,2083122649367691500.000
5316444490799407.000,2083205700586452500.000
5316603457733634.000,2083288754288543500.000
5316762427836675.000,2083371810474012700.000
5316921401108567.000,2083454869142909200.000
5317080377549336.000,2083537930295282700.000
5317239357159016.000,2083620993931183200.000
5317398339937638.000,2083704060050659200.000
5317557325885235.000,2083787128653760700.000
5317716315001836.000,2083870199740537200.000
5317875307287476.000,2083953273311038500.000
5318034302742183.000,2084036349365313500.000
5318193301365992.000,2084119427903412000.000
5318352303158928.000,2084202508925383200.000
5318511308121031.000,2084285592431277200.000
5318670316252329.000,2084368678421143200.000
5318829327552855.000,2084451766895031200.000
5318988342022637.000,2084534857852990500.000
5319147359661710.000,2084617951295070000.000
5319306380470104.000,2084701047221320000.000
5319465404447852.000,2084784145631789500.000
5319624431594984.000,2084867246526528000.000
5319783461911532.000,2084950349905585200.000
5319942495397527.000,2085033455769010500.000
5320101532053002.000,2085116564116853200.000
5320260571877987.000,2085199674949163200.000
5320419614872513.000,2085282788265988700.000
5320578661036614.000,2085365904067381500.000
5320737710370322.000,2085449022353390500.000
5320896762873666.000,2085532143124064700.000
5321055818546680.000,2085615266379453200.000
5321214877389393.000,2085698392119606500.000
5321373939401840.000,2085781520344572700.000
5321533004584049.000,2085864651054402700.000
5321692072936054.000,2085947784249146000.000
5321851144457884.000,2086030919928851200.000
5322010219149574.000,2086114058093568700.000
5322169297011154.000,2086197198743346500.000
5322328378042651.000,2086280341878234700.000
5322487462244105.000,2086363487498284000.000
5329012644223004.000,2089774598254634700.000
5329171861591005.000,2089857848296145200.000
5329331082130315.000,2089941100824946500.000
5329490305840969.000,2090024355841086500.000
5329649532722995.000,2090107613344616500.000
5329808762776429.000,2090190873335585200.000
5329967996001300.000,2090274135814042500.000
5330127232397640.000,2090357400780037500.000
5330286471965477.000,2090440668233618500.000
5330445714704850.000,2090523938174838500.000
5330604960615786.000,2090607210603744700.000
5330764209698317.000,2090690485520387200.000
5330923461952476.000,2090773762924815200.000
5331082717378293.000,2090857042817079200.000
5331241975975800.000,2090940325197226700.000
5331401237745029.000,2091023610065309500.000
5331560502686010.000,2091106897421376500.000
5331719770798778.000,2091190187265476000.000
5331879042083361.000,2091273479597658700.000
5332038316539792.000,2091356774417974000.000
5332197594168102.000,2091440071726471500.000
5332356874968322.000,2091523371523199200.000
5332516158940486.000,2091606673808209200.000
5332675446084625.000,2091689978581550500.000
5332834736400770.000,2091773285843272000.000
5332994029888953.000,2091856595593422700.000
5333153326549203.000,2091939907832053500.000
5333312626381556.000,2092023222559212700.000
5333471929386040.000,2092106539774950700.000
5333631235562689.000,2092189859479316700.000
5333790544911532.000,2092273181672360700.000
5333949857432603.000,2092356506354132000.000
5334109173125932.000,2092439833524679200.000
5334268491991548.000,2092523163184050700.000
5334427814029489.000,2092606495332300700.000
5334587139239783.000,2092689829969476000.000
5334746467622462.000,2092773167095626000.000
5334905799177559.000,2092856506710800000.000
5335065133905102.000,2092939848815048700.000
5335224471805126.000,2093023193408421200.000
5335383812877661.000,2093106540490966700.000
5335543157122738.000,2093189890062734700.000
5335702504540390.000,2093273242123775200.000
5335861855130648.000,2093356596674137500.000
5336021208893544.000,2093439953713871500.000
5336180565829108.000,2093523313243026500.000
5336339925937370.000,2093606675261650500.000
5336499289218367.000,2093690039769795200.000
5336658655672130.000,2093773406767510700.000
5336818025298686.000,2093856776254845200.000
5336977398098071.000,2093940148231848500.000
5337136774070312.000,2094023522698570000.000
5337296153215446.000,2094106899655059500.000
5337455535533500.000,2094190279101366500.000
5337614921024509.000,2094273661037540700.000
5337774309688502.000,2094357045463632000.000
5337933701525512.000,2094440432379688700.000
5338093096535570.000,2094523821785762000.000
5338252494718704.000,2094607213681898500.000
5338411896074952.000,2094690608068151500.000
5344950084119751.000,2098111922505285500.000
5345109618775194.000,2098195421521133500.000
5345269156605106.000,2098278923029228000.000
5345428697609521.000,2098362427029620000.000
5345588241788466.000,2098445933522357200.000
5345747789141977.000,2098529442507490500.000
5345907339670082.000,2098612953985068700.000
5346066893372816.000,2098696467955141500.000
5346226450250205.000,2098779984417758000.000
5346386010302288.000,2098863503372969500.000
5346545573529092.000,2098947024820824700.000
5346705139930651.000,2099030548761373500.000
5346864709506995.000,2099114075194664700.000
5347024282258154.000,2099197604120748700.000
5347183858184163.000,2099281135539674500.000
5347343437285053.000,2099364669451492000.000
5347503019560852.000,2099448205856250700.000
5347662605011596.000,2099531744754000000.000
5347822193637314.000,2099615286144790000.000
5347981785438038.000,2099698830028670000.000
5348141380413800.000,2099782376405689200.000
5348300978564630.000,2099865925275896700.000
5348460579890562.000,2099949476639344000.000
5348620184391627.000,2100033030496080000.000
5348779792067856.000,2100116586846153500.000
5348939402919282.000,2100200145689615500.000
5349099016945934.000,2100283707026514500.000
5349258634147846.000,2100367270856899500.000
5349418254525048.000,2100450837180821500.000
5349577878077573.000,2100534405998329200.000
5349737504805450.000,2100617977309473200.000
5349897134708714.000,2100701551114302000.000
5350056767787394.000,2100785127412866000.000
5350216404041520.000,2100868706205212500.000
5350376043471128.000,2100952287491394500.000
5350535686076248.000,2101035871271460500.000
5350695331856911.000,2101119457545459500.000
5350854980813150.000,2101203046313441200.000
5351014632944994.000,2101286637575455500.000
5351174288252477.000,2101370231331552700.000
5351333946735628.000,2101453827581780700.000
5351493608394482.000,2101537426326190500.000
5351653273229067.000,2101621027564830500.000
5351812941239419.000,2101704631297751500.000
5351972612425564.000,2101788237525003200.000
5352132286787538.000,2101871846246634000.000
5352291964325367.000,2101955457462692700.000
5352451645039090.000,2102039071173232500.000
5352611328928735.000,2102122687378300000.000
5352771015994335.000,2102206306077946500.000
5352930706235919.000,2102289927272220000.000
5353090399653520.000,2102373550961171500.000
5353250096247170.000,2102457177144850000.000
5353409796016901.000,2102540805823305200.000
5353569498962742.000,2102624436996586500.000
5353729205084727.000,2102708070664743200.000
5353888914382886.000,2102791706827826500.000
5354048626857253.000,2102875345485884500.000
5354208342507854.000,2102958986638965500.000
5354368061334728.000,2103042630287122500.000
5360919268394450.000,2106474168733010700.000
5361079120653166.000,2106557917219104000.000
5361238976089512.000,2106641668202406000.000
5361398834703514.000,2106725421682965500.000
5361558696495210.000,2106809177660833200.000
5361718561464627.000,2106892936136058500.000
5361878429611798.000,2106976697108690500.000 
